"Nominal brown shrimp prices by size, 0-15, 15-20, etc.",,,,,,,,,
,,0-15,15-20,20-25,25-30,30-40,40-50,50-67,Pieces
Year,Month,price1,price2,price3,price4,price5,price6,price7,price8
2000,6,9.864208752,7.693629093,6.570471496,5.639037725,4.967362475,4.347596131,3.753749369,2.503705887
2000,7,9.940372853,7.72210843,6.38696949,5.423849942,4.67172823,4.20089132,3.762093812,2.864984293
2000,8,9.682388496,7.392965341,5.993046693,5.155153586,4.51208191,4.006912526,3.568423776,2.70949451
2000,9,8.481889603,6.495428602,5.157665751,4.616286929,4.17595323,3.630689977,3.225933361,2.546390184
2000,10,8.192204106,6.311355723,5.060758139,4.633997717,4.12861414,3.668176346,3.25145178,2.583735767
2000,11,8.498314632,6.375860607,5.082642782,4.7048221,4.183141408,3.811386111,3.385555541,2.626472157
2000,12,8.853678477,6.442872646,5.103849549,4.772835162,4.381989626,3.85599987,3.514518663,2.879590387
2001,1,8.841016061,6.528961627,5.339478471,5.048953963,4.558954433,3.861725619,3.582576719,3.09911651
2001,2,10.04251436,6.892805789,5.657235887,5.151782923,4.616029348,3.911638374,3.47165144,2.963029946
2001,3,9.715449688,7.010707201,5.699736846,5.254392503,4.571161799,4.121299949,3.726561817,2.903459326
2001,4,9.856508712,7.045931576,5.747575485,5.349207886,4.599049569,4.04699832,3.506156964,2.388984878
2001,5,9.97750409,7.039854794,5.977156201,5.588519556,4.54901021,3.676800096,2.838322589,1.984598095
2001,6,9.583514964,7.102783446,6.051916927,5.652737276,4.167050849,3.093242658,2.771165355,2.207621899
2001,7,9.142501158,6.939824272,5.785533928,5.21320319,3.658539248,2.676618205,2.357276102,2.04429752
2001,8,9.053329848,6.534170368,5.333566043,4.839469188,3.493717051,2.713597855,2.400810404,1.995828268
2001,9,8.612776869,6.282223949,5.088047271,4.593876043,3.463553862,2.794214224,2.490057812,1.964179876
2001,10,7.452348086,5.527058223,4.485807052,4.22700062,3.359140124,2.62176291,2.454594395,1.983767265
2001,11,7.07404201,5.382186519,4.430535157,4.07369574,3.352685318,2.666752457,2.51692511,2.049793835
2001,12,7.325739275,5.453201195,4.40368631,4.059513179,3.386889689,2.730569308,2.56469445,2.103738981
2002,1,7.707953265,5.708252182,4.67398302,4.325994474,3.641225257,2.975761342,2.65736791,2.0371371
2002,2,8.000801743,6.011716826,4.702243457,4.362408674,3.703773952,3.030141783,2.767685754,2.254767328
2002,3,7.640008853,5.67682718,4.601641794,4.305374637,3.488441757,3.232967401,2.602005871,2.170215563
2002,4,7.529152841,5.739077655,4.354575834,3.742745595,3.253413782,2.825517559,2.352664671,1.122663905
2002,5,7.348650927,5.619298024,4.33526966,3.845624053,3.190469928,2.737142985,2.252673184,1.254916703
2002,6,7.107970591,5.524200155,4.259545058,3.674941703,3.025062887,2.845395261,2.666771348,1.927605079
2002,7,7.28555672,5.388594104,4.083253357,3.257015261,2.686218034,2.479194563,2.234685409,1.844458161
2002,8,6.815108226,5.082221965,3.852478438,3.097390127,2.589240709,2.382001654,2.079890565,1.704129742
2002,9,6.856574198,5.184291074,3.995110062,3.180188618,2.741223928,2.570091898,2.254825669,1.772988777
2002,10,6.826594174,5.200626193,4.119358253,3.363811043,2.981129472,2.781962731,2.523254648,1.974651015
2002,11,7.352085711,5.220590452,4.046360259,3.26424657,2.941411243,2.638933672,2.594959873,1.941529351
2002,12,7.362325706,5.27605605,4.151846038,3.358152533,2.977511229,2.675720847,2.518230654,1.762628677
2003,1,7.121410852,5.412266107,3.933052084,3.459038809,3.012846621,2.729881245,2.536254221,1.677029015
2003,2,7.669002148,5.503021733,4.201092299,3.66489336,3.148200112,3.071571238,2.541860632,1.761029412
2003,3,7.469253758,5.46553371,4.325543162,3.842643782,3.109002404,3.355247069,2.841648309,1.90303458
2003,4,7.386361062,5.557185688,4.69685562,4.273441229,3.701463287,3.469658566,2.831140152,1.457208347
2003,5,7.140257632,5.324810238,4.507455027,3.988976934,3.400532252,2.824293324,2.205736568,1.068390407
2003,6,6.970039113,5.233663251,4.62453984,4.162386556,3.413020823,2.792926226,2.10341902,1.402908676
2003,7,6.617908767,5.2327358,4.463665708,4.06592478,3.05810708,2.440958208,2.057995651,1.593031276
2003,8,6.21708526,4.737742659,3.961579017,3.574031759,2.706356238,2.191202598,1.894103403,1.624393881
2003,9,5.736373568,4.531354391,3.788961159,3.481496508,2.695820775,2.088489425,1.828524105,1.389387701
2003,10,5.376186123,4.184770795,3.486896207,3.225188526,2.479620316,2.006054043,1.758284823,1.399961842
2003,11,5.091600863,4.150293138,3.331619865,3.100886959,2.454290952,1.991672934,1.769953247,1.202030097
2003,12,5.448587631,4.587659082,3.777276477,3.313719883,2.621247912,2.025660363,1.852301711,0.99556887
2004,1,5.269114243,4.617382507,3.908370797,3.530759939,2.747360604,2.141691964,1.830905056,1.098043782
2004,2,6.195207433,4.851706756,4.170240877,3.56661064,2.866974905,2.568186908,2,0.995864979
2004,3,6.211812451,5.054262842,4.297574107,3.83416595,2.898003755,2.734502278,2.438181335,1.034984598
2004,4,6.213105192,5.233019104,4.419341948,3.784410764,2.976458916,2.724225014,2.439417771,1.134826397
2004,5,6.094553648,5.3017106,4.719671815,3.788261595,2.858811674,2.371510423,2.049644765,0.939118797
2004,6,6.271705677,5.217558131,4.340655493,3.458294545,2.535067017,2.01332841,1.80873105,1.036804141
2004,7,6.635891548,5.363772244,4.436380836,3.28235791,2.374008122,1.879566712,1.729448484,1.192962139
2004,8,6.536312241,5.194233283,4.308538924,3.261928142,2.379629247,2.049307908,1.793522908,1.344705237
2004,9,6.5482247,5.20668695,4.239390844,3.239151442,2.332901869,2.009174438,1.768548578,1.329350109
2004,10,6.489225604,5.218763044,4.295160647,3.299645468,2.570994335,2.152599842,1.971546885,1.400243563
2004,11,6.854111795,5.263672994,4.183469763,3.480688518,2.653123572,2.143821184,2.044395339,1.325724788
2004,12,6.815211799,5.315451375,4.237512478,3.431518921,2.572087672,2.192677676,2.097386829,1.533834125
2005,1,6.728796433,5.258530062,4.215022126,3.485806843,2.659831935,2.439015366,2.368499359,2.056781552
2005,2,6.888887783,5.065875537,4.308305701,3.432202329,2.701565774,2.368620515,2.184381779,1.248550827
2005,3,6.76960975,5.054160007,4.199587631,3.495787402,2.624447808,2.414473217,2.705336427,1.991053678
2005,4,6.417961274,5.310344116,4.432074296,3.534304311,3.115487212,2.561426588,2.194122623,1.386225166
2005,5,6.14538711,4.756057751,3.929231963,3.215630885,2.722935248,2.370583856,2.017252211,1.250042697
2005,6,7.174240648,4.898115612,4.056065205,3.289634706,2.715164397,2.640510737,2.357640178,1.607177985
2005,7,7.480646545,4.837555388,4.093347927,3.231189205,2.720916284,2.51428136,2.385166212,2.044684362
2005,8,6.839218373,4.561729288,3.765067291,3.118115111,2.610926317,2.339286789,2.215749914,1.876954061
2005,9,7.269082085,4.652350668,3.676369044,3.17226559,2.652559228,2.250754261,2.082595587,1.657509776
2005,10,6.815066696,4.514931652,3.618561298,3.186577617,2.629675546,2.310684176,2.207100407,1.796176397
2005,11,6.463501443,4.178547608,3.447149648,3.142879696,2.498615278,2.25851431,2.075918848,1.907538115
2005,12,6.044974646,4.089143315,3.240268027,3.187515972,2.497263335,2.147585963,2.03731689,1.728559135
2006,1,5.988986831,3.864941657,3.237732452,3.13338704,2.412006593,2.262623588,2.150084249,1.87062036
2006,2,5.74046502,3.764711348,3.320609713,3.182472046,2.391031513,2.355695318,2.202523947,2.072905895
2006,3,5.721718236,4.021675096,3.522788923,3.393862912,2.672623016,2.45054376,2.349806873,1.865338645
2006,4,5.846469218,4.020579219,3.898223219,3.54785725,2.413445036,4.137642797,2.303381167,1.2616606
2006,5,5.858458836,3.919026229,3.372995034,2.937397535,2.55568497,2.176142081,1.761520544,1.060993301
2006,6,6.44039206,4.05259583,3.616519137,3.392801725,2.789698221,2.134727075,1.764030989,1.274451736
2006,7,6.158593174,3.878826157,3.438634711,3.187791145,2.443372359,1.915129509,1.674060661,1.375161722
2006,8,5.169558374,3.314120307,3.041334355,2.713117079,2.101253716,1.672803217,1.52384987,1.306430336
2006,9,4.955248065,3.137667906,2.744346712,2.435895913,2.002613802,1.564601736,1.382292613,1.288743995
2006,10,4.702165001,3.053397272,2.694137275,2.36005509,1.892081969,1.518484331,1.35767379,1.264437332
2006,11,4.631078133,2.957664909,2.657893709,2.502019437,1.933356395,1.693205325,1.464438626,1.291103658
2006,12,4.958416001,3.05988405,2.543820961,2.537458142,1.95244843,1.688517331,1.725693446,1.405224926
2007,1,4.989987409,3.376692324,2.946448996,3.003200767,2.12977995,2.041203142,1.788083416,1.538715331
2007,2,5.419330509,3.444616646,2.908159228,2.84778009,2.270340931,2.109957709,1.929095409,0.943375518
2007,3,5.66269174,3.266885773,3.037852876,2.912356918,2.567747915,2.049478634,1.889307033,1.692027667
2007,4,5.675301148,3.666025761,3.617780301,3.582032563,3.062796331,2.670671679,2.180273494,1.039600428
2007,5,5.912556663,4.34695326,3.671020571,3.426817639,2.911096696,2.532211956,1.866807156,1.153979983
2007,6,6.211060449,4.322307076,3.90763362,3.361998715,2.460080105,2.361776387,2.045897533,1.568374805
2007,7,6.554243997,4.384167603,3.919250384,3.210096352,2.292030891,2.119460408,1.878668194,1.487114954
2007,8,6.339023163,4.188556667,3.6775943,3.074380947,2.236645644,1.975184392,1.811452975,1.532204609
2007,9,5.971344876,4.266181431,3.715091763,3.157079065,2.212461313,2.007637719,1.794789313,1.314680458
2007,10,6.283509728,4.649107082,3.822605592,3.256850893,2.338160784,2.135298019,2.076688142,1.287988898
2007,11,6.203259592,5.062816382,4.102676995,3.514872833,2.645227397,2.400959577,2.246113478,1.629713245
2007,12,6.357822723,5.162985455,4.225132602,3.58417242,2.840037752,2.616879099,2.476752523,1.75416676
2008,1,6.410262646,5.540788082,4.708770751,3.696190087,2.924430435,2.729310031,2.488931477,1.802347669
2008,2,6.567218271,5.310845372,4.236945945,3.757744159,3.025736624,2.882372215,2.353333333,1.388164973
2008,3,6.514112764,5.551936176,4.545075625,3.938278444,3.399979122,3.014639769,2.594841695,1.704607229
2008,4,6.477819102,5.806629681,4.930926317,4.163464959,3.671625248,2.858327702,2.444805816,1.03696942
2008,5,6.626376345,6.084698099,5.327963987,4.36308801,3.533134734,3.078225723,1.994848337,1.033316704
2008,6,6.879845782,6.02429552,5.249126926,4.285843399,3.563435721,3.265910089,2.362411648,1.593887411
2008,7,7.337515113,6.187591678,5.229348644,3.982434754,3.731035273,3.269182975,2.678973305,1.935240019
2008,8,6.699243404,5.874415587,4.789734832,3.786490889,3.449045977,3.04771811,2.706528484,1.979811017
2008,9,5.989790491,4.980084477,4.148336741,3.237965975,2.946980094,2.569913457,2.273675075,1.736016479
